Member_state,Heritage_element,Status_Inscribed_or_Proclaimed,Region,Start,End
Afghanistan / Azerbaijan / India / Iran / Iraq / Kazakhstan / Kyrgyzstan / Pakistan / Tajikistan / Turkey / Turkmenistan / Uzbekistan,"Nawrouz, Novruz, Nowrouz, Nowrouz, Nawrouz, Nauryz, Nooruz, Nowruz, Navruz, Nevruz, Nowruz, Navruz",inscribed,APA,2016,
Afghanistan / Azerbaijan / Iran / Turkey / Tajikistan / Turkmenistan / Uzbekistan,Sericulture and traditional production of silk for weaving,inscribed,APA,2022,
Afghanistan / Iran,Yaldā/Chella,inscribed,APA,2022,
Afghanistan / Iran,Iso-Polyphony,proclaimed,ENA,2005,
Afghanistan / Iran,Iso-Polyphony,inscribed,ENA,2008,
Albania / Andorra / Austria / Croatia / France / Greece / Italy / Luxembourg / Romania / Spain,"Transhumance, the seasonal droving of livestock",inscribed,ENA,2023,
Albania / Andorra / Austria / Croatia / France / Greece / Italy / Luxembourg / Romania / Spain,"Ritual and ceremonies of Sebiba in the oasis of Djanet, Algeria",inscribed,AST,2014,
Albania / Andorra / Austria / Croatia / France / Greece / Italy / Luxembourg / Romania / Spain,Ahellil of Gourara,proclaimed,AST,2005,
Albania / Andorra / Austria / Croatia / France / Greece / Italy / Luxembourg / Romania / Spain,Ahellil of Gourara,inscribed,AST,2008,
Albania / Andorra / Austria / Croatia / France / Greece / Italy / Luxembourg / Romania / Spain,Rites and craftsmanship associated with the wedding costume tradition of Tlemcen,inscribed,AST,2012,
Albania / Andorra / Austria / Croatia / France / Greece / Italy / Luxembourg / Romania / Spain,Annual pilgrimage to the mausoleum of Sidi 'Abd el-Qader Ben Mohammed (Sidi Cheikh),inscribed,AST,2017,
Albania / Andorra / Austria / Croatia / France / Greece / Italy / Luxembourg / Romania / Spain,"Sbuâ, annual pilgrimage to the zawiya of Sidi El Hadj Belkacem in Gourara",inscribed,AST,2015,
Albania / Andorra / Austria / Croatia / France / Greece / Italy / Luxembourg / Romania / Spain,"Raï, popular folk song of Algeria",inscribed,AST,2022,
Andorra / France,Bear festivities in the Pyrenees,inscribed,ENA,2022,
Andorra / France / Spain,Summer solstice fire festivals in the Pyrenees,inscribed,ENA,2015,
Andorra / France / Spain,"Sona, drawings and geometric figures on sand",inscribed,AFR,2023,
Andorra / France / Spain,"Filete porteño in Buenos Aires, a traditional painting technique",inscribed,LAC,2015,
Andorra / France / Spain,Chamamé,inscribed,LAC,2020,
Argentina / Uruguay,Tango,inscribed,LAC,2009,
Argentina / Uruguay,Duduk and its music,proclaimed,ENA,2005,
Argentina / Uruguay,Duduk and its music,inscribed,ENA,2008,
Argentina / Uruguay,Armenian cross-stones art. Symbolism and craftsmanship of Khachkars,inscribed,ENA,2010,
Argentina / Uruguay,Performance of the Armenian epic of 'Daredevils of Sassoun' or 'David of Sassoun',inscribed,ENA,2012,
Argentina / Uruguay,"Lavash, the preparation, meaning and appearance of traditional bread as an expression of culture in Armenia",inscribed,ENA,2014,
Argentina / Uruguay,"Kochari, traditional group dance",inscribed,ENA,2017,
Argentina / Uruguay,Armenian letter art and its cultural expressions,inscribed,ENA,2019,
Argentina / Uruguay,Tradition of blacksmithing in Gyumri,inscribed,ENA,2023,
Armenia / Iran,"Pilgrimage to the St. Thaddeus Apostle Monastery, Saint Stepanos Monastery, Chapel of Dzordzor, Chapel of Chupan, Church of the Holy Mother of God, Darashamb.",inscribed,APA,2020,
Armenia / Iran,"Schemenlaufen, the carnival of Imst, Austria",inscribed,ENA,2012,
Armenia / Iran,Classical horsemanship and the High School of the Spanish Riding School Vienna,inscribed,ENA,2015,
Austria / Belgium / Croatia / Czech Republic / France / Germany / Hungary / Ireland / Italy / Kazakhstan / South Korea / Kyrgyzstan / Mongolia / Netherlands / Morocco / Pakistan / Poland / Portugal / Qatar / Saudi Arabia / Slovakia / Spain / Syria / United Arab Emirates,"Falconry, a living human heritage",inscribed,"AFR, APA, AST, ENA",2021,
Austria / Belgium / Germany / Italy / Luxembourg / Netherlands /  / Switzerland,"Traditional irrigation: knowledge, technique, and organization",inscribed,ENA,2023,
Austria / Bosnia and Herzegovina / Croatia / Hungary / Italy / Romania / Slovakia / Slovenia,Lipizzan horse breeding traditions,inscribed,ENA,2022,
Austria / Czech Republic / Germany / Hungary / Slovakia,"Blaudruck/Modrotisk/Kékfestés/Modrotlač, resist block printing and indigo dyeing in Europe",inscribed,ENA,2018,
Austria / Czech Republic / Germany / Latvia / Poland / Spain,Timber rafting,inscribed,ENA,2022,
Austria / Greece / Italy / Romania,"Transhumance, the seasonal droving of livestock along migratory routes in the Mediterranean and in the Alps",inscribed,ENA,2019,
Austria /  / Switzerland,Avalanche risk management,inscribed,ENA,2018,
Austria /  / Switzerland,Azerbaijani Mugham,proclaimed,APA,2003,
Austria /  / Switzerland,Azerbaijani Mugham,inscribed,APA,2008,
Austria /  / Switzerland,Art of Azerbaijani Ashiq,inscribed,APA,2009,
Austria /  / Switzerland,Traditional art of Azerbaijani carpet weaving in the Republic of Azerbaijan,inscribed,APA,2010,
Austria /  / Switzerland,"Craftsmanship and performance art of the Tar, a long-necked string musical instrument",inscribed,APA,2012,
Austria /  / Switzerland,"Traditional art and symbolism of Kelaghayi, making and wearing women's silk headscarves",inscribed,APA,2014,
Austria /  / Switzerland,Copper craftsmanship of Lahij,inscribed,APA,2015,
Austria /  / Switzerland,"Dolma making and sharing tradition, a marker of cultural identity",inscribed,APA,2017,
Austria /  / Switzerland,"Nar Bayrami, traditional pomegranate festivity and culture",inscribed,APA,2020,
Austria /  / Switzerland,"Pehlevanliq culture: traditional zorkhana games, sports and wrestling",inscribed,APA,2022,
Azerbaijan / Iran,"Art of crafting and playing with Kamantcheh/Kamancha, a bowed string musical instrument",inscribed,APA,2017,
Azerbaijan / Iran / Tajikistan / Turkey / Uzbekistan,Art of illumination: Təzhib/Tazhib/Zarhalkori/Tezhip/Naqqoshlik,inscribed,APA,2023,
Azerbaijan / Iran / Turkey / Uzbekistan,Art of miniature,inscribed,APA,2020,
Azerbaijan / Iran / Turkey / Uzbekistan,Iftar/Eftari/Iftar/Iftor and its socio-cultural traditions,inscribed,APA,2023,
Azerbaijan / Iran / Kazakhstan / Kyrgyzstan / Turkey,"Flatbread making and sharing culture: Lavash, Katyrma, Jupka, Yufka",inscribed,APA,2016,
Azerbaijan / Kazakhstan / Kyrgyzstan / Tajikistan / Turkey / Turkmenistan / Uzbekistan,Telling tradition of Nasreddin Hodja/ Molla Nesreddin/ Molla Ependi/ Apendi/ Afendi Kozhanasyr Anecdotes,inscribed,APA,2022,
Azerbaijan / Kazakhstan / Turkey,"Heritage of Dede Qorqud/Korkyt Ata/Dede Korkut, epic culture, folk tales and music",inscribed,APA,2018,
Azerbaijan / Turkey,"Culture of Çay (tea), a symbol of identity, hospitality and social interaction",inscribed,APA,2022,
Azerbaijan / Turkey,Craftsmanship and performing art of balaban/mey,inscribed,APA,2023,
Azerbaijan / Turkey,Craftsmanship of mother of pearl inlay,inscribed,APA,2023,
Azerbaijan / Turkey,Junkanoo,inscribed,LAC,2023,
Azerbaijan / Turkey,Fjiri,inscribed,ARB,2021,
Bahrain / Egypt / Iraq / Jordan / Kuwait / Mauritania / Morocco / Oman / Palestine / Saudi Arabia / Sudan / Tunisia / United Arab Emirates / Yemen,"Date palm, knowledge, skills, traditions and practices",inscribed,ARB,2019,
Bahrain / Egypt / Iraq / Jordan / Kuwait / Mauritania / Morocco / Oman / Palestine / Saudi Arabia / Sudan / Tunisia / United Arab Emirates / Yemen,"Date palm, knowledge, skills, traditions and practices",inscribed,ARB,2022,
Bahrain / Egypt / Iraq / Jordan / Kuwait / Mauritania / Morocco / Oman / Palestine / Saudi Arabia / Sudan / Tunisia / United Arab Emirates / Yemen,Baul songs,proclaimed,APA,2005,
Bahrain / Egypt / Iraq / Jordan / Kuwait / Mauritania / Morocco / Oman / Palestine / Saudi Arabia / Sudan / Tunisia / United Arab Emirates / Yemen,Baul songs,inscribed,APA,2008,
Bahrain / Egypt / Iraq / Jordan / Kuwait / Mauritania / Morocco / Oman / Palestine / Saudi Arabia / Sudan / Tunisia / United Arab Emirates / Yemen,Traditional art of Jamdani weaving,inscribed,APA,2013,
Bahrain / Egypt / Iraq / Jordan / Kuwait / Mauritania / Morocco / Oman / Palestine / Saudi Arabia / Sudan / Tunisia / United Arab Emirates / Yemen,Mangal Shobhajatra on Pahela Baishakh,inscribed,APA,2016,
Bahrain / Egypt / Iraq / Jordan / Kuwait / Mauritania / Morocco / Oman / Palestine / Saudi Arabia / Sudan / Tunisia / United Arab Emirates / Yemen,Traditional art of Shital Pati weaving of Sylhet,inscribed,APA,2017,
Bahrain / Egypt / Iraq / Jordan / Kuwait / Mauritania / Morocco / Oman / Palestine / Saudi Arabia / Sudan / Tunisia / United Arab Emirates / Yemen,Rickshaws & Rickshaw painting in Dhaka,inscribed,APA,2023,
Bahrain / Egypt / Iraq / Jordan / Kuwait / Mauritania / Morocco / Oman / Palestine / Saudi Arabia / Sudan / Tunisia / United Arab Emirates / Yemen,Annual celebration in honor of Our Lady of Budslau,inscribed,ENA,2018,
Bahrain / Egypt / Iraq / Jordan / Kuwait / Mauritania / Morocco / Oman / Palestine / Saudi Arabia / Sudan / Tunisia / United Arab Emirates / Yemen,"Straw weaving in Belarus, art, craft and skills",inscribed,ENA,2022,
Belarus / Poland,Tree beekeeping culture,inscribed,ENA,2020,
Belarus / Poland,Carnival of Binche,proclaimed,ENA,2003,
Belarus / Poland,Carnival of Binche,inscribed,ENA,2008,
Belarus / Poland,Procession of the Holy Blood in Bruges,inscribed,ENA,2009,
Belarus / Poland,"Houtem Jaarmarkt, annual winter fair and livestock market at Sint-Lievens-Houtem",inscribed,ENA,2010,
Belarus / Poland,"Krakelingen and Tonnekensbrand, end-of-winter bread and fire feast at Geraardsbergen",inscribed,ENA,2010,
Belarus / Poland,Leuven age set ritual repertoire,inscribed,ENA,2011,
Belarus / Poland,Marches of Entre-Sambre-et-Meuse,inscribed,ENA,2012,
Belarus / Poland,Shrimp fishing on horseback in Oostduinkerke,inscribed,ENA,2013,
Belarus / Poland,Beer culture in Belgium,inscribed,ENA,2016,
Belarus / Poland,"Ommegang of Brussels, an annual historical procession and popular festival",inscribed,ENA,2019,
Belarus / Poland,Namur stilt jousting,inscribed,ENA,2021,
Belgium / France,Processional giants and dragons in Belgium and France,proclaimed,ENA,2005,
Belgium / France,Processional giants and dragons in Belgium and France,inscribed,ENA,2008,
Belgium / France / Italy / Luxembourg,"Musical art of horn players, an instrumental technique linked to singing, breath control, vibrato, resonance of place and conviviality",inscribed,ENA,2020,
Benin / Nigeria / Togo,Oral heritage of Gelede,proclaimed,AFR,2001,
Benin / Nigeria / Togo,Oral heritage of Gelede,inscribed,AFR,2008,
Benin / Nigeria / Togo,Mask dance of the drums from Drametse,proclaimed,APA,2005,
Benin / Nigeria / Togo,Mask dance of the drums from Drametse,inscribed,APA,2008,
Benin / Nigeria / Togo,Andean cosmovision of the Kallawaya,proclaimed,LAC,2003,
Benin / Nigeria / Togo,Andean cosmovision of the Kallawaya,inscribed,LAC,2008,
Benin / Nigeria / Togo,Carnival of Oruro,proclaimed,LAC,2001,
Benin / Nigeria / Togo,Carnival of Oruro,inscribed,LAC,2008,
Benin / Nigeria / Togo,"Ichapekene Piesta, the biggest festival of San Ignacio de Moxos",inscribed,LAC,2012,
Benin / Nigeria / Togo,"Pujllay and Ayarichi, music and dances of the Yampara culture",inscribed,LAC,2014,
Benin / Nigeria / Togo,Ritual journeys in La Paz during Alasita,inscribed,LAC,2017,
Benin / Nigeria / Togo,The festival of the Santísima Trinidad del Señor Jesús del Gran Poder in the city of La Paz,inscribed,LAC,2019,
Benin / Nigeria / Togo,Grand Festival of Tarija,inscribed,LAC,2021,
Benin / Nigeria / Togo,"Ch'utillos, the Festival of San Bartolomé and San Ignacio de Loyola, the meeting of cultures in Potosí",inscribed,LAC,2023,
Benin / Nigeria / Togo,Zmijanje embroidery,inscribed,ENA,2014,
Benin / Nigeria / Togo,Konjic woodcarving,inscribed,ENA,2017,
Benin / Nigeria / Togo,Picking of iva grass on Ozren mountain,inscribed,ENA,2018,
Benin / Nigeria / Togo,Grass mowing competition custom in Kupres,inscribed,ENA,2020,
Benin / Nigeria / Togo,Oral and graphic expressions of the Wajapi,proclaimed,LAC,2003,
Benin / Nigeria / Togo,Oral and graphic expressions of the Wajapi,inscribed,LAC,2008,
Benin / Nigeria / Togo,Samba de Roda of the Recôncavo of Bahia,proclaimed,LAC,2005,
Benin / Nigeria / Togo,Samba de Roda of the Recôncavo of Bahia,inscribed,LAC,2008,
Benin / Nigeria / Togo,"Frevo, performing arts of the Carnival of Recife",inscribed,LAC,2012,
Benin / Nigeria / Togo,"Círio de Nazaré (The Taper of Our Lady of Nazareth) in the city of Belém, Pará",inscribed,LAC,2013,
Benin / Nigeria / Togo,Capoeira circle,inscribed,LAC,2014,
Benin / Nigeria / Togo,Cultural Complex of Bumba-meu-boi from Maranhão,inscribed,LAC,2019,
Benin / Nigeria / Togo,"Bistritsa Babi, archaic polyphony, dances and rituals from the Shoplouk region",proclaimed,ENA,2005,
Benin / Nigeria / Togo,"Bistritsa Babi, archaic polyphony, dances and rituals from the Shoplouk region",inscribed,ENA,2008,
Benin / Nigeria / Togo,"Nestinarstvo, messages from the past: the Panagyr of Saints Constantine and Helena in the village of Bulgari",inscribed,ENA,2009,
Benin / Nigeria / Togo,The tradition of carpet-making in Chiprovtsi,inscribed,ENA,2014,
Benin / Nigeria / Togo,Surva folk feast in Pernik region,inscribed,ENA,2015,
Benin / Nigeria / Togo,"Visoko multipart singing from Dolen and Satovcha, South-western Bulgaria",inscribed,ENA,2021,
Bulgaria / North Macedonia / Moldova / Romania,Cultural practices associated with 1 March,inscribed,ENA,2017,
Cambodia / Philippines / South Korea / Vietnam,Tugging rituals and games,inscribed,APA,2015,
Cambodia / Philippines / South Korea / Vietnam,"Nguon, rituals of governance and associated expressions in the Bamoun community",inscribed,AFR,2023,
Cambodia / Philippines / South Korea / Vietnam,Polyphonic singing of the Aka Pygmies of Central Africa,proclaimed,AFR,2003,
Cambodia / Philippines / South Korea / Vietnam,Polyphonic singing of the Aka Pygmies of Central Africa,inscribed,AFR,2008,
Cambodia / Philippines / South Korea / Vietnam,Baile Chino,inscribed,LAC,2014,
Cambodia / Philippines / South Korea / Vietnam,Kun Qu opera,proclaimed,APA,2001,
Cambodia / Philippines / South Korea / Vietnam,Kun Qu opera,inscribed,APA,2008,
Cambodia / Philippines / South Korea / Vietnam,Guqin and its music,proclaimed,APA,2003,
Cambodia / Philippines / South Korea / Vietnam,Guqin and its music,inscribed,APA,2008,
Cambodia / Philippines / South Korea / Vietnam,Uyghur Muqam of Xinjiang,proclaimed,APA,2005,
Cambodia / Philippines / South Korea / Vietnam,Uyghur Muqam of Xinjiang,inscribed,APA,2008,
Cambodia / Philippines / South Korea / Vietnam,Art of Chinese seal engraving,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,China engraved block printing technique,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Chinese calligraphy,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Chinese paper-cut,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Chinese traditional architectural craftsmanship for timber-framed structures,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Craftsmanship of Nanjing yunjin brocade,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Dragon Boat festival,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Pungmul (Farmers' dance of China's Korean ethnic group),inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Gesar epic tradition,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Grand song of the Dong ethnic group,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Hua'er,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Manas,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Mazu belief and customs,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Nanyin,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Regong arts,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Sericulture and silk craftsmanship of China,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Tibetan opera,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Traditional firing technology of Longquan celadon,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Traditional handicrafts of making Xuan paper,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Xi'an wind and percussion ensemble,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Yueju opera,inscribed,APA,2009,
Cambodia / Philippines / South Korea / Vietnam,Acupuncture and moxibustion of traditional Chinese medicine,inscribed,APA,2010,
Cambodia / Philippines / South Korea / Vietnam,Peking opera,inscribed,APA,2010,
Cambodia / Philippines / South Korea / Vietnam,Chinese shadow puppetry,inscribed,APA,2011,
Cambodia / Philippines / South Korea / Vietnam,"Chinese Zhusuan, knowledge and practices of mathematical calculation through the abacus",inscribed,APA,2013,
Cambodia / Philippines / South Korea / Vietnam,"The Twenty-Four Solar Terms, knowledge of time and practices developed in China through observation of the sun's annual motion",inscribed,APA,2016,
