Country,Role,Name,Start,End
Italy,President,Carlo Azeglio Ciampi,1999-05-18,2006-05-15
Italy,President,Oscar Luigi Scalfaro,1992-05-28,1999-05-15
Italy,President,Francesco Cossiga,1985-07-03,1992-04-28
Italy,President,Giorgio Napolitano,2006-05-15,2015-01-14
Italy,President,Sergio Mattarella,2015-02-03,
Italy,Prime Minister,Paolo Gentiloni,2016-12-12,2018-06-01
Italy,Prime Minister,Matteo Renzi,2014-02-22,2016-12-12
Italy,Prime Minister,Enrico Letta,2013-04-28,2014-02-22
Italy,Prime Minister,Mario Monti,2011-11-16,2013-04-28
Italy,Prime Minister,Silvio Berlusconi,2008-05-08,2011-11-16
Italy,Prime Minister,Romano Prodi,2006-05-17,2008-05-08
Italy,Prime Minister,Silvio Berlusconi,2005-04-23,2006-05-17
Italy,Prime Minister,Silvio Berlusconi,2001-06-11,2005-04-23
Italy,Prime Minister,Giuliano Amato,2000-04-25,2001-06-11
Italy,Prime Minister,Massimo D'Alema,1999-12-22,2000-04-25
Italy,Prime Minister,Massimo D'Alema,1998-10-21,1999-12-22
Italy,Prime Minister,Romano Prodi,1996-05-17,1998-10-21
Italy,Prime Minister,Lamberto Dini,1995-01-17,1996-05-17
Italy,Prime Minister,Silvio Berlusconi,1994-05-10,1995-01-17
Italy,Prime Minister,Carlo Azeglio Ciampi,1993-04-28,1994-05-10
Italy,Prime Minister,Giuliano Amato,1992-06-28,1993-04-28
Italy,Prime Minister,Giulio Andreotti,1991-04-12,1992-06-28
Italy,Prime Minister,Giulio Andreotti,1989-07-22,1991-04-12
Italy,Prime Minister,Giuseppe Conte,2018-06-01,2021-02-13
Italy,Prime Minister,Mario Draghi,2021-02-13,2022-10-22
Italy,Prime Minister,Giorgia Meloni,2022-10-22,
United States of America,President,Bill Clinton,1993-01-20,2001-01-20
United States of America,President,George H. W. Bush,1989-01-20,1993-01-20
United States of America,President,Joe Biden,2021-01-20,
United States of America,President,George W. Bush,2001-01-20,2009-01-20
United States of America,President,Donald Trump,2017-01-20,2021-01-20
United States of America,President,Barack Obama,2009-01-20,2017-01-20
China,President,Xi Jinping,2013-03-14,
China,President,Hu Jintao,2003-03-15,2013-03-14
China,President,Zhemin Jiang,1993-03-27,2003-03-15
China,President,Yang Shangkun,1988-04-08,1993-03-27
China,Premier,Li Keqiang,2013-03-15,2023-03-11
China,Premier,Wen Jiabao,2003-03-16,2013-03-15
China,Premier,Zhu Rongji,1998-03-17,2003-03-16
China,Premier,Li Peng,1987-11-24,1998-03-17
China,Premier,Li Qiang,2023-03-11,
Germany,president,Richard von Weizsäcker,1984-07-01,1994-06-30
Germany,president,Roman Herzog,1994-07-01,1999-06-30
Germany,president,Johannes Rau,1999-07-01,2004-06-30
Germany,president,Horst Köhler,2004-07-01,2010-05-31
Germany,president,Christian Wulff,2010-06-30,2012-02-17
Germany,president,Joachim Gauck,2012-03-18,2017-03-18
Germany,president,Frank-Walter Steinmeier,2017-03-19,
Germany,Federal Chancellor,Helmut Kohl,1982-10-04,1998-10-26
Germany,Federal Chancellor,Gerhard Schröder,1998-10-27,2005-10-18
Germany,Federal Chancellor,Angela Merkel,2005-11-22,2021-12-08
Germany,Federal Chancellor,Olaf Scholz,2021-12-08,
Japan,Emperor,Akihito,1989-01-07,2019-05-01
Japan,Emperor,Naruhito,2019-05-01,
Japan,Prime Minister,Shinzō Abe,2012-12-26,2020-09-16
Japan,Prime Minister,Yoshihide Suga,2020-09-16,2021-10-04
Japan,Prime Minister,Fumio Kishida,2021-10-04,2024-10-01
Japan,Prime Minister,Shigeru Ishiba,2024-10-01,
India,President,Ram Nath Kovind,2017-07-25,2022-07-25
India,President,Pranab Mukherjee,2012-07-25,2017-07-25
India,President,Pratibha Patil,2007-07-25,2012-07-25
India,President,A. P. J. Abdul Kalam,2002-07-25,2007-07-25
India,President,K. R. Narayanan,1997-07-25,2002-07-25
India,President,Shankar Dayal Sharma,1992-07-25,1997-07-25
India,President,R. Venkataraman,1987-07-25,1992-07-25
India,President,Droupadi Murmu,2022-07-25,
India,Prime minister,Narendra Modi,2014-05-26,
India,Prime minister,P. V. Narasimha Rao,1991-06-21,1996-05-16
India,Prime minister,Manmohan Singh,2004-05-22,2014-05-26
India,Prime minister,Atal Bihari Vajpayee,1998-03-19,2004-05-22
India,Prime minister,I. K. Gujral,1997-04-21,1998-03-19
India,Prime minister,H. D. Deve Gowda,1996-06-01,1997-04-21
India,Prime minister,Atal Bihari Vajpayee,1996-05-16,1996-06-01
India,Prime minister,Chandra Shekhar,1990-11-10,1991-06-21
India,Prime minister,Vishwanath Pratap Singh,1989-12-02,1990-11-10
United Kingdom,monarch,Charles III,2022-09-08,
United Kingdom,monarch,Elizabeth II,1952-02-06,2022-09-08
United Kingdom,Prime Minister,Theresa May,2016-07-13,2019-07-24
United Kingdom,Prime Minister,David Cameron,2010-05-11,2016-07-12
United Kingdom,Prime Minister,Boris Johnson,2019-07-24,2022-09-06
United Kingdom,Prime Minister,Liz Truss,2022-09-06,2022-10-25
United Kingdom,Prime Minister,Rishi Sunak,2022-10-25,2024-07-05
United Kingdom,Prime Minister,Keir Starmer,2024-07-05,
France,President,Emmanuel Macron,2017-05-14,
France,President,François Hollande,2012-05-15,2017-05-14
France,President,Nicolas Sarkozy,2007-05-16,2012-05-15
France,President,Jacques Chirac,1995-05-17,2007-05-16
France,President,François Mitterrand,1981-05-21,1995-05-17
France,Prime Minister,Manuel Valls,2014-03-31,2016-12-06
France,Prime Minister,Jean-Marc Ayrault,2012-05-16,2014-03-31
France,Prime Minister,Bernard Cazeneuve,2016-12-06,2017-05-10
France,Prime Minister,Édouard Philippe,2017-05-15,2020-07-02
France,Prime Minister,François Fillon,2007-05-17,2012-05-10
France,Prime Minister,Jean Castex,2020-07-03,2022-05-16
France,Prime Minister,Élisabeth Borne,2022-05-16,2024-01-09
France,Prime Minister,Michel Barnier,2024-09-05,2024-12-13
France,Prime Minister,François Bayrou,2024-12-13,
Brazil,President,Jair Bolsonaro,2019-01-01,2023-01-01
Brazil,President,Fernando Henrique Cardoso,1995-01-01,2002-12-31
Brazil,President,Michel Temer,2016-08-31,2019-01-01
Brazil,President,Fernando Collor de Mello,1990-03-15,1992-10-02
Brazil,President,Luiz Inácio Lula da Silva,2023-01-01,
Brazil,President,Luiz Inácio Lula da Silva,2003-01-01,2010-12-31
Brazil,President,Dilma Rousseff,2011-01-01,2016-08-31
Brazil,President,Itamar Franco,1992-12-29,1994-12-31
Canada,monarch,Elizabeth II,1952-02-06,2022-09-08
Canada,monarch,Charles III,2022-09-08,
Canada,Prime Minister,Stephen Harper,2006-02-06,2015-11-03
Canada,Prime Minister,Justin Trudeau,2015-11-04,
Russia,President,Boris Yeltsin,1991-07-10,1999-12-31
Russia,President,Vladimir Putin,2000-05-07,2008-05-07
Russia,President,Dmitry Medvedev,2008-05-07,2012-05-07
Russia,President,Vladimir Putin,2012-05-07,
Russia,Prime Minister,Boris Yeltsin,1991-11-06,1992-06-15
Russia,Prime Minister,Yegor Gaidar,1992-06-15,1992-12-15
Russia,Prime Minister,Viktor Chernomyrdin,1992-12-14,1998-03-23
Russia,Prime Minister,Sergey Kiriyenko,1998-03-23,1998-08-23
Russia,Prime Minister,Viktor Chernomyrdin,1998-08-23,1998-09-11
Russia,Prime Minister,Yevgeny Primakov,1998-09-11,1999-05-12
Russia,Prime Minister,Sergei Stepashin,1999-05-12,1999-08-09
Russia,Prime Minister,Vladimir Putin,1999-08-09,2000-05-07
Russia,Prime Minister,Mikhail Kasyanov,2000-05-07,2004-02-24
Russia,Prime Minister,Viktor Khristenko,2004-02-24,2004-03-05
Russia,Prime Minister,Mikhail Fradkov,2004-03-05,2007-09-14
Russia,Prime Minister,Victor Zubkov,2007-09-14,2008-05-08
Russia,Prime Minister,Vladimir Putin,2008-05-08,2012-05-07
Russia,Prime Minister,Victor Zubkov,2012-05-07,2012-05-08
Russia,Prime Minister,Dmitry Medvedev,2012-05-08,2020-01-16
Russia,Prime Minister,Mikhail Mishustin,2020-01-16,
Mexico,President,Felipe Calderón,2006-12-01,2012-12-01
Mexico,President,Enrique Peña Nieto,2012-12-01,2018-12-01
Mexico,President,Carlos Salinas de Gortari,1988-01-01,1994-01-01
Mexico,President,Vicente Fox Quesada,2000-01-01,2006-01-01
Mexico,President,Andrés Manuel López Obrador,2018-12-01,2024-09-30
Mexico,President,Claudia Sheinbaum,2024-10-01,
Mexico,President,Ernesto Zedillo,1994-01-01,2000-01-01
South Korea,President,Yoon Suk Yeol,2022-05-10,
South Korea,President,Kim Young-sam,1993-02-25,1998-02-24
South Korea,President,Roh Moo-hyun,2003-02-25,2008-02-24
South Korea,President,Kim Dae-jung,1998-02-25,2003-02-24
South Korea,President,Moon Jae-in,2017-05-10,2022-05-09
South Korea,President,Lee Myung-bak,2008-02-25,2013-02-24
South Korea,President,Roh Tae-woo,1988-02-25,1993-02-24
South Korea,President,Park Geun-hye,2013-02-25,2017-03-10
Australia,monarch,Elizabeth II,1952-02-06,2022-09-08
Australia,monarch,Quentin Bryce,2008-09-05,2014-03-27
Australia,monarch,Michael Jeffery,2003-08-11,2008-09-04
Australia,monarch,Peter Hollingworth,2001-06-29,2003-05-29
Australia,monarch,William Deane,1996-02-16,2001-06-28
Australia,monarch,Bill Hayden,1989-02-16,1996-02-15
Australia,monarch,Charles III,2022-09-08,
Australia,Prime Minister,Tony Abbott,2013-09-18,2015-09-15
Australia,Prime Minister,Kevin Rudd,2013-06-27,2013-09-18
Australia,Prime Minister,Julia Gillard,2010-06-24,2013-06-27
Australia,Prime Minister,Kevin Rudd,2007-03-12,2010-06-24
Australia,Prime Minister,John Howard,1996-03-11,2007-03-12
Australia,Prime Minister,Paul Keating,1991-12-20,1996-03-11
Australia,Prime Minister,Bob Hawke,1983-03-11,1991-12-20
Australia,Prime Minister,Malcolm Turnbull,2015-09-15,2018-08-24
Australia,Prime Minister,Scott Morrison,2018-08-24,2022-05-23
Australia,Prime Minister,Anthony Albanese,2022-05-23,
Spain,Monarch,Felipe VI,2014-06-19,
Spain,Monarch,Juan Carlos I,1975-11-22,2014-06-19
Spain,Prime Minister,Mariano Rajoy,2011-12-21,2018-06-01
Spain,Prime Minister,José Luis Rodríguez Zapatero,2004-04-16,2011-12-21
Spain,Prime Minister,José María Aznar,1996-05-04,2004-04-16
Spain,Prime Minister,Felipe González,1982-12-01,1996-05-04
Spain,Prime Minister,Pedro Sánchez,2018-06-02,
Indonesia,President,Bacharuddin Jusuf Habibie,1998-05-21,1999-10-20
Indonesia,President,Megawati Soekarnoputri,2001-07-23,2004-10-20
Indonesia,President,Joko Widodo,2014-10-20,2024-10-20
Indonesia,President,Prabowo Subianto,2024-10-20,
Indonesia,President,Suharto,1967-03-12,1998-05-21
Indonesia,President,Abdurrahman Wahid,1999-10-20,2001-07-23
Indonesia,President,Susilo Bambang Yudhoyono,2004-10-20,2014-10-20
Turkey,President,Recep Tayyip Erdoğan,2014-08-28,
Turkey,President,Abdullah Gül,2007-08-28,2014-08-28
Turkey,President,Ahmet Necdet Sezer,2000-05-16,2007-08-28
Turkey,President,Süleyman Demirel,1993-05-16,2000-05-16
Turkey,President,Turgut Özal,1989-11-09,1993-04-17
Turkey,President,Hüsamettin Cindoruk,1993-04-17,1993-05-16
Turkey,Prime Minister,Ahmet Davutoğlu,2014-08-28,2016-05-24
Turkey,Prime Minister,Recep Tayyip Erdoğan,2003-03-23,2014-08-28
Turkey,Prime Minister,Binali Yıldırım,2016-05-24,2018-07-09
Turkey,Prime Minister,Abdullah Gül,2002-12-18,2003-03-14
Turkey,Prime Minister,Bülent Ecevit,1999-01-11,2002-11-18
Turkey,Prime Minister,Tansu Çiller,1993-06-25,1996-03-06
Turkey,Prime Minister,Recep Tayyip Erdoğan,2018-06-24,
Netherlands,King,Willem-Alexander,2013-04-30,
Netherlands,King,Beatrix,1980-04-30,2013-04-30
Netherlands,Prime Minister,Dick Schoof,2024-07-02,
Netherlands,Prime Minister,Mark Rutte,2010-10-14,2024-07-02
Netherlands,Prime Minister,Jan Peter Balkenende,2002-07-22,2010-10-14
Netherlands,Prime Minister,Wim Kok,1994-08-22,2002-07-22
Netherlands,Prime Minister,Ruud Lubbers,1982-11-04,1994-08-22
Saudi Arabia,King,Salman bin Abdulaziz Al Saud,2015-01-23,
Saudi Arabia,King,Fahd bin Abdulaziz Al Saud,1982-06-13,2005-08-01
Saudi Arabia,King,Abdullah,2005-08-01,2015-01-23
Saudi Arabia,Prime Minister,Mohammed bin Salman,2022-09-27,
Saudi Arabia,Prime Minister,Salman bin Abdulaziz Al Saud,2015-01-23,2022-09-27
Saudi Arabia,Prime Minister,Fahd bin Abdulaziz Al Saud,1982-06-13,2005-08-01
Saudi Arabia,Prime Minister,Abdullah,2005-08-01,2015-01-23
Poland,President,Andrzej Duda,2015-08-06,
Poland,President,Lech Kaczyński,2005-12-23,2010-04-10
Poland,President,Aleksander Kwaśniewski,1995-12-23,2005-12-23
Poland,President,Lech Wałęsa,1990-12-22,1995-12-22
Poland,President,Wojciech Jaruzelski,1989-07-19,1990-12-22
Poland,President,Bronisław Komorowski,2010-08-06,2015-08-06
Poland,President,Bronisław Komorowski,2010-04-10,2010-07-08
Poland,President,Bogdan Borusewicz,2010-07-08,2010-07-08
Poland,President,Grzegorz Schetyna,2010-07-08,2010-08-06
Poland,Prime Minister,Ewa Kopacz,2014-09-22,2015-11-16
Poland,Prime Minister,Donald Tusk,2007-11-16,2014-09-22
Poland,Prime Minister,Jarosław Kaczyński,2006-07-14,2007-11-16
Poland,Prime Minister,Beata Szydło,2015-11-16,2017-12-11
Poland,Prime Minister,Tadeusz Mazowiecki,1989-08-24,1991-01-04
Poland,Prime Minister,Jan Krzysztof Bielecki,1991-01-04,1991-12-06
Poland,Prime Minister,Jan Olszewski,1991-12-06,1992-06-05
Poland,Prime Minister,Waldemar Pawlak,1992-06-05,1992-07-10
Poland,Prime Minister,Hanna Suchocka,1992-07-10,1993-10-26
Poland,Prime Minister,Waldemar Pawlak,1993-10-26,1995-03-07
Poland,Prime Minister,Józef Oleksy,1995-03-07,1996-02-07
Poland,Prime Minister,Włodzimierz Cimoszewicz,1996-02-07,1997-10-31
