Organization_name,Organization_type,Role,Name,Start,End
Walmart,company,CEO,Doug McMillon,2014-01-01,
Walmart,company,CEO,Mike Duke,2009-01-01,2014-01-01
Walmart,company,CEO,Lee Scott,2000-01-01,2009-01-01
Walmart,company,CEO,David Glass,1988-01-01,2000-01-01
Walmart,company,CEO,Sam Walton,1950-01-01,1988-01-01
Saudi Aramco,company,CEO,Khalid A. Al-Falih,2009-01-01,2015-01-01
Saudi Aramco,company,CEO,Amin H. Al-Nasser,2015-01-01,
Amazon,company,CEO,Andy Jassy,2021-07-06,
Amazon,company,CEO,Jeff Bezos,1996-01-01,2021-07-05
ExxonMobil,company,CEO,Rex Tillerson,2006-01-01,2017-01-01
ExxonMobil,company,CEO,Darren Woods,2017-01-01,
ExxonMobil,company,CEO,Lee Raymond,1999-01-01,2005-01-01
Apple,company,CEO,Michael Scott,1977-01-01,1981-01-01
Apple,company,CEO,Mike Markkula,1981-01-01,1983-01-01
Apple,company,CEO,John Sculley,1983-01-01,1993-01-01
Apple,company,CEO,Michael Spindler,1993-01-01,1996-01-01
Apple,company,CEO,Gil Amelio,1996-01-01,1997-01-01
Apple,company,CEO,Steve Jobs,1997-09-01,2011-08-23
Apple,company,CEO,Tim Cook,2011-08-24,
Shell,company,CEO,Ben van Beurden,2014-01-01,2022-12-31
Shell,company,CEO,Peter Voser,2009-01-01,2013-12-31
Shell,company,CEO,Jeroen van der Veer,2005-01-01,2009-01-01
Shell,company,CEO,Wael Sawan,2023-01-01,
CVS Health,company,CEO,Larry Merlo,2011-01-01,2024-10-01
CVS Health,company,CEO,David Joyner,2024-10-01,
Berkshire Hathaway,company,CEO,Warren Buffett,1970-01-01,1978-01-01
Berkshire Hathaway,company,CEO,Charlie Munger,1978-01-01,2023-01-01
Berkshire Hathaway,company,CEO,Greg Abel,2023-05-01,
Volkswagen Group,company,CEO,Heinrich Nordhoff,1948-01-01,1968-01-01
Volkswagen Group,company,CEO,Kurt Lotz,1968-01-01,1971-01-01
Volkswagen Group,company,CEO,Rudolf Leiding,1971-01-01,1975-01-01
Volkswagen Group,company,CEO,Toni Schmücker,1975-01-01,1982-01-01
Volkswagen Group,company,CEO,Carl Hahn,1982-01-01,1993-01-01
Volkswagen Group,company,CEO,Ferdinand Piëch,1993-01-01,2002-01-01
Volkswagen Group,company,CEO,Bernd Pischetsrieder,2002-01-01,2006-01-01
Volkswagen Group,company,CEO,Martin Winterkorn,2007-01-01,2015-01-01
Volkswagen Group,company,CEO,Matthias Müller,2015-01-01,2018-01-01
Volkswagen Group,company,CEO,Herbert Diess,2018-01-01,2022-08-31
Volkswagen Group,company,CEO,Hermann Münch,1946-01-01,1947-01-01
