Name,Team,Start,End,Sport
Cristiano Ronaldo,Manchester United F.C.,2003-01-01,2009-01-01,soccer
Cristiano Ronaldo,Real Madrid CF,2009-01-01,2018-01-01,soccer
Cristiano Ronaldo,Sporting CP,2002-01-01,2003-01-01,soccer
Cristiano Ronaldo,Portugal national association football team,2003-01-01,2021-06-27,soccer
Cristiano Ronaldo,Portugal national under-21 football team,2002-01-01,2003-01-01,soccer
Cristiano Ronaldo,Portugal Olympic football team,2004-01-01,2004-01-01,soccer
Cristiano Ronaldo,Portugal national under-20 football team,2003-01-01,2003-01-01,soccer
Cristiano Ronaldo,Portugal national under-17 football team,2001-01-01,2002-01-01,soccer
Cristiano Ronaldo,Portugal national under-15 football team,2001-01-01,2001-01-01,soccer
Cristiano Ronaldo,Juventus FC,2018-01-01,2021-08-26,soccer
Cristiano Ronaldo,Manchester United F.C.,2021-08-27,2022-11-22,soccer
Cristiano Ronaldo,Al-Nassr,2023-01-01,,soccer
Lionel Messi,Newell's Old Boys,1995-01-01,2000-01-01,soccer
Lionel Messi,FC Barcelona C,2003-01-01,2004-01-01,soccer
Lionel Messi,FC Barcelona Atlètic,2004-01-01,2005-01-01,soccer
Lionel Messi,FC Barcelona,2004-01-01,2021-01-01,soccer
Lionel Messi,Paris Saint-Germain F.C.,2021-01-01,2023-06-30,soccer
Lionel Messi,Argentina national under-20 football team,2004-01-01,2005-01-01,soccer
Lionel Messi,Argentina national under-23 football team,2008-01-01,2008-01-01,soccer
Lionel Messi,FC Barcelona Juvenil A,2003-01-01,2004-01-01,soccer
Lionel Messi,Inter Miami CF,2023-07-15,,soccer
Neymar Jr.,FC Barcelona,2013-01-01,2017-01-01,soccer
Neymar Jr.,Santos F.C.,2009-01-01,2013-01-01,soccer
Neymar Jr.,Brazil national under-17 football team,2009-01-01,2009-01-01,soccer
Neymar Jr.,Brazil national under-20 football team,2011-01-01,2011-01-01,soccer
Neymar Jr.,Brazil Olympic football team,2012-01-01,2012-01-01,soccer
Neymar Jr.,Paris Saint-Germain F.C.,2017-01-01,2023-08-15,soccer
Neymar Jr.,Al-Hilal SFC,2023-08-15,,soccer
Kylian Mbappé,AS Monaco FC,2015-01-01,2018-01-01,soccer
Kylian Mbappé,Paris Saint-Germain F.C.,2017-01-01,,soccer
Karim Benzema,Olympique Lyonnais,2004-01-01,2009-01-01,soccer
Karim Benzema,Real Madrid CF,2009-01-01,2023-01-01,soccer
Karim Benzema,France national association football team,2007-01-01,2022-01-01,soccer
Karim Benzema,France national under-17 association football team,2004-01-01,2004-01-01,soccer
Karim Benzema,France national under-18 association football team,2004-01-01,2005-01-01,soccer
Karim Benzema,France national under-19 association football team,2005-01-01,2006-01-01,soccer
Karim Benzema,France national under-21 association football team,2006-01-01,2006-01-01,soccer
Karim Benzema,Olympique Lyonnais Reserves and Academy,2004-01-01,2006-01-01,soccer
Karim Benzema,Al Ittihad FC,2023-01-01,,soccer
Erling Haaland,Bryne FK,2016-01-01,2017-01-01,soccer
Erling Haaland,Molde FK,2017-01-01,2019-01-01,soccer
Erling Haaland,FC Red Bull Salzburg,2019-01-01,2020-01-01,soccer
Erling Haaland,Borussia Dortmund,2020-01-01,2022-01-01,soccer
Erling Haaland,Manchester City F.C.,2022-01-01,,soccer
Mohamed Salah,ACF Fiorentina,2015-01-01,2015-01-01,soccer
Mohamed Salah,Al Mokawloon Al Arab SC,2010-01-01,2012-01-01,soccer
Mohamed Salah,Chelsea F.C.,2014-01-01,2015-01-01,soccer
Mohamed Salah,A.S. Roma,2015-01-01,2017-01-01,soccer
Mohamed Salah,FC Basel,2012-01-01,2014-01-01,soccer
Mohamed Salah,Liverpool F.C.,2017-01-01,,soccer
Sadio Mané,FC Red Bull Salzburg,2012-01-01,2014-01-01,soccer
Sadio Mané,FC Metz,2010-01-01,2012-01-01,soccer
Sadio Mané,Southampton F.C.,2014-01-01,2016-01-01,soccer
Sadio Mané,Senegal national under-23 football team,2012-01-01,2012-01-01,soccer
Sadio Mané,Liverpool F.C.,2016-01-01,2022-01-01,soccer
Sadio Mané,FC Bayern Munich,2022-01-01,2023-01-01,soccer
Sadio Mané,Al-Nassr,2023-01-01,,soccer
Kevin De Bruyne,K.R.C. Genk,2008-01-01,2012-01-01,soccer
Kevin De Bruyne,Manchester City F.C.,2015-01-01,,soccer
Kevin De Bruyne,Chelsea F.C.,2012-01-01,2014-01-01,soccer
Kevin De Bruyne,K.R.C. Genk,2012-01-01,2012-01-01,soccer
Kevin De Bruyne,SV Werder Bremen,2012-01-01,2013-01-01,soccer
Kevin De Bruyne,VfL Wolfsburg,2014-01-01,2015-01-01,soccer
Kevin De Bruyne,Belgium national football team,2010-01-01,2011-01-01,soccer
Kevin De Bruyne,Belgium national under-18 football team,2008-01-01,2009-01-01,soccer
Kevin De Bruyne,Belgium national under-19 football team,2009-01-01,2009-01-01,soccer
Kevin De Bruyne,Belgium national under-21 football team,2011-01-01,2011-01-01,soccer
Harry Kane,Tottenham Hotspur F.C.,2009-01-01,2023-01-01,soccer
Harry Kane,Leyton Orient F.C.,2011-01-01,2011-01-01,soccer
Harry Kane,Millwall F.C.,2012-01-01,2012-01-01,soccer
Harry Kane,Norwich City F.C.,2012-01-01,2013-01-01,soccer
Harry Kane,Tottenham Hotspur F.C.,2013-01-01,2013-01-01,soccer
Harry Kane,FC Bayern Munich,2023-01-01,,soccer
Harry Kane,England national under-17 association football team,2010-01-01,2010-01-01,soccer
Harry Kane,England national under-19 association football team,2010-01-01,2012-01-01,soccer
Harry Kane,England national under-20 association football team,2013-01-01,2013-01-01,soccer
Harry Kane,England national under-21 association football team,2013-01-01,2015-01-01,soccer
Stephen Curry,Davidson Wildcats men's basketball,2006-01-01,2009-01-01,basketball
Stephen Curry,Golden State Warriors,2009-01-01,,basketball
Kevin Durant,Seattle SuperSonics,2007-01-01,2008-01-01,basketball
Kevin Durant,Texas Longhorns men's basketball,2006-01-01,2007-01-01,basketball
Kevin Durant,Oklahoma City Thunder,2008-01-01,2016-01-01,basketball
Kevin Durant,Golden State Warriors,2016-01-01,2019-01-01,basketball
Kevin Durant,Brooklyn Nets,2019-01-01,2019-01-01,basketball
Kevin Durant,Phoenix Suns,2023-01-01,,basketball
LeBron James,Cleveland Cavaliers,2003-01-01,2010-01-01,basketball
LeBron James,Miami Heat,2010-07-10,2014-01-01,basketball
LeBron James,Cleveland Cavaliers,2014-01-01,2018-01-01,basketball
LeBron James,Los Angeles Lakers,2018-07-09,,basketball
Nikola Jokic,KK Mega Basket,2012-01-01,2015-01-01,basketball
Nikola Jokic,Denver Nuggets,2015-01-01,,basketball
Bradley Beal,Phoenix Suns,2012-01-01,,basketball
Bradley Beal,Florida Gators men's basketball,2011-01-01,2012-01-01,basketball
Giannis Antetokounmpo,Filathlitikos B.C.,2011-01-01,2013-01-01,basketball
Giannis Antetokounmpo,Milwaukee Bucks,2013-01-01,,basketball
Damian Lillard,Portland Trail Blazers,2012-01-01,2023-09-27,basketball
Damian Lillard,Weber State Wildcats men's basketball,2008-01-01,2012-01-01,basketball
Damian Lillard,Milwaukee Bucks,2023-09-27,,basketball
Kawhi Leonard,Toronto Raptors,2018-01-01,,basketball
Kawhi Leonard,San Diego State Aztecs men's basketball,2009-01-01,2011-01-01,basketball
Paul George,Los Angeles Clippers,2019-01-01,,basketball
Paul George,Fresno State Bulldogs men's basketball,2008-01-01,2010-01-01,basketball
Max Verstappen,Red Bull Racing,2016-01-01,,F1 racing
Max Verstappen,Scuderia Toro Rosso,2015-01-01,2016-01-01,F1 racing
Max Verstappen,Van Amersfoort Racing,2014-01-01,2015-01-01,F1 racing
Lewis Hamilton,McLaren,2007-01-01,2012-01-01,F1 racing
Lewis Hamilton,Mercedes F1 Team,2013-01-01,,F1 racing
Fernando Alonso,Renault F1 Team,2002-01-01,2006-01-01,F1 racing
Fernando Alonso,McLaren,2007-01-01,2007-01-01,F1 racing
Fernando Alonso,Renault F1 Team,2008-01-01,2009-01-01,F1 racing
Fernando Alonso,Scuderia Ferrari,2010-01-01,2014-01-01,F1 racing
Fernando Alonso,McLaren,2015-01-01,2018-01-01,F1 racing
Fernando Alonso,Minardi,2001-01-01,2001-01-01,F1 racing
Fernando Alonso,Renault F1 Team,2021-01-01,2022-01-01,F1 racing
Fernando Alonso,Aston Martin F1 Team,2023-01-01,,F1 racing
Charles Leclerc,Sauber,2018-01-01,2019-01-01,F1 racing
Charles Leclerc,Scuderia Ferrari,2019-01-01,,F1 racing
Carlos Sainz Jr.,McLaren,2019-01-01,2020-01-01,F1 racing
Carlos Sainz Jr.,Renault F1 Team,2017-01-01,2018-01-01,F1 racing
Carlos Sainz Jr.,Scuderia Toro Rosso,2015-01-01,2017-01-01,F1 racing
Carlos Sainz Jr.,Scuderia Ferrari,2021-01-01,,F1 racing
Pierre Gasly,Red Bull Racing,2019-01-01,2019-08-12,F1 racing
Pierre Gasly,Scuderia Toro Rosso,2017-01-01,2018-01-01,F1 racing
Pierre Gasly,Scuderia Toro Rosso,2019-08-12,2023-01-01,F1 racing
Pierre Gasly,Alpine F1 Team,2023-01-01,,F1 racing
