Title,Director,cast,Start,Release_year,popularity,End
Abigail,"Matt Bettinelli-Olpin, Tyler Gillett","Melissa Barrera, Dan Stevens, Alisha Weir, William Catlett, Kathryn Newton",2024-04-16,2024,140.702,
Abigail,Aleksandr Boguslavskiy,"Tinatin (Tina) Dalakishvili, Rinal Mukhametov, Artyom Tkachenko, Ravshana Kurkova, Kseniya Kutepova",2019-08-22,2019,15.658,
Absolution,Hans Petter Moland,"Liam Neeson, Ron Perlman, Yolonda Ross, Frankie Shaw, Daniel Diemer",2024-10-31,2024,434.123,
Absolution,Keoni Waxman,"Steven Seagal, Byron Mann, Joshua Lawrence Barnett, Adina Ștețcu, Massimo Dobrović",2015-05-04,2015,10.164,
After,Jenny Gage,"Josephine Langford, Hero Fiennes Tiffin, Shane Paul McGhie, Khadijha Red Thunder, Dylan Arnold",2019-04-11,2019,81.05,
After,Ryan Smith,"Steven Strait, Karolina Wydra, Sandra Ellis Lafferty, Ric Reitz, Jackson Walker",2012-08-27,2012,9.934,
After Everything,Castille Landon,"Hero Fiennes Tiffin, Josephine Langford, Mimi Keene, Stephen Moyer, Louise Lombard",2023-09-13,2023,60.466,
After Everything,"Joey Power, Hannah Marks","Jeremy Allen White, Maika Monroe, Gina Gershon, Marisa Tomei, Joe Keery",2018-10-12,2018,9.117,
Aftermath,Patrick Lussier,"Dylan Sprouse, Mason Gooding, Dichen Lachman, Megan Stott, Kevin Chapman",2024-09-27,2024,270.103,
Aftermath,Peter Winther,"Ashley Greene, Shawn Ashmore, Britt Baron, Ross McCall, Soraya Kelley",2021-08-04,2021,12.74,
Aftermath,Elliott Lester,"Arnold Schwarzenegger, Scoot McNairy, Maggie Grace, Judah Nelson, Larry Sullivan",2017-02-28,2017,25.604,
Aftermath,Władysław Pasikowski,"Ireneusz Czop, Maciej Stuhr, Jerzy Radziwiłowicz, Zuzana Fialová, Andrzej Mastalerz",2012-11-09,2012,9.622,
Air,Ben Affleck,"Matt Damon, Ben Affleck, Jason Bateman, Chris Messina, Viola Davis",2023-04-05,2023,42.511,
Air,Christian Cantamessa,"Norman Reedus, Djimon Hounsou, Sandrine Holt, Peter Benson, Michael Hogan",2015-08-14,2015,14.263,
Alone,John Hyams,"Jules Willcox, Marc Menchaca, Anthony Heald, Jonathan Rosenthal, Katie O’Grady",2020-09-10,2020,38.928,
Alone,Johnny Martin,"Tyler Posey, Summer Spiro, Donald Sutherland, Robert Ri'chard, Brooke Swallow",2020-10-23,2020,21.537,
Alone,David Moreau,"Sofia Lesaffre, Stéphane Bak, Thomas Doret, Kim Lockhart, Jean-Stan du Pac",2017-02-08,2017,13.095,
Amber Alert,Kerry Bellessa,"Hayden Panettiere, Tyler James Williams, Kevin Dunn, Saidah Arrika Ekulona, Kurt Oberhaus",2024-09-27,2024,27.809,
Amber Alert,Kerry Bellessa,"Jasen Wade, Summer Bellessa, Chris Hill, Caleb Thompson, Brooke Thompson",2012-11-02,2012,5.919,
Anaconda,Tom Gormican,"Jack Black, Paul Rudd, Daniela Melchior, Thandiwe Newton, Steve Zahn",2025-12-25,2025,10.491,
Anaconda,"Xiang Qiuliang, Xiang Hesheng","Nita Xia, Terence Yin Chi-Wai, Wang Xingchen, Ken Lok Tat-Wah, Paul Che Biu-Law",2024-03-01,2024,55.398,
Animal,Sandeep Reddy Vanga,"Ranbir Kapoor, Rashmika Mandanna, Anil Kapoor, Bobby Deol, Triptii Dimri",2023-12-01,2023,28.4,
Animal,Brett Simmons,"Joey Lauren Adams, Elizabeth Gillies, Paul Iacono, Thorsten Kaye, Amaury Nolasco",2014-06-17,2014,7.967,
Anna,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy, Lera Abova",2019-06-19,2019,35.696,
Anna,Jorge Dorado,"Mark Strong, Taissa Farmiga, Brian Cox, Saskia Reeves, Richard Dillane",2013-10-13,2013,14.671,
Art of Love,Recai Karagöz,"Birkan Sokullu, Esra Bilgiç, Fırat Tanış, Ushan Çakır, Hakan Ummak",2024-03-13,2024,27.589,
Art of Love,Betty Kaplan,"Esai Morales, Kunjue Li, Caterina Murino, Braulio Castillo Jr., Aris Mejias",2021-10-14,2021,9.303,
Attack on Titan,Noah Luke,"Michael Paré, Erin Coker, Jack Pearson, Anthony Jensen, Neli Sabour",2022-09-30,2022,22.151,
Attack on Titan,Shinji Higuchi,"Haruma Miura, Kiko Mizuhara, Kanata Hongo, Nanami Sakuraba, Takahiro Miura",2015-08-01,2015,59.696,
Ava,Tate Taylor,"Jessica Chastain, John Malkovich, Common, Colin Farrell, Geena Davis",2020-07-02,2020,29.126,
Ava,Léa Mysius,"Noée Abita, Laure Calamy, Juan Cano, Tamara Cano, Ismaël Capelot",2017-06-21,2017,14.85,
Bait,Mark Jenkin,"Edward Rowe, Mary Woodvine, Giles King, Simon Shepherd, Chloe Endean",2019-03-26,2019,6.914,
Bait,Kimble Rendall,"Sharni Vinson, Phoebe Tonkin, Julian McMahon, Alex Russell, Xavier Samuel",2012-09-05,2012,29.489,
Ballerina,Lee Chung-hyun,"Jun Jong-seo, Kim Ji-hun, Park Yu-rim, Shin Se-hwi, Park Hyeong-su",2023-10-05,2023,39.718,
Ballerina,"Eric Summer, Éric Warin","Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler, Mel Brooks",2016-12-14,2016,26.537,
Barbie,Greta Gerwig,"Margot Robbie, Ryan Gosling, America Ferrera, Ariana Greenblatt, Issa Rae",2023-07-19,2023,120.89,
Barbie,Lee Sang-woo,"Lee Chun-hee, Kim Sae-ron, Kim Ah-ron, Cat Tebo, Earl Jackson",2011-10-07,2011,4.478,
Beast,Baltasar Kormákur,"Idris Elba, Leah Sava Jeffries, Iyana Halley, Sharlto Copley, Martin Munro",2022-08-11,2022,35.899,
Beast,Michael Pearce,"Jessie Buckley, Johnny Flynn, Trystan Gravelle, Geraldine James, Oliver Maltman",2018-04-18,2018,9.658,
Beautiful Boy,Felix van Groeningen,"Steve Carell, Timothée Chalamet, Maura Tierney, Amy Ryan, Christian Convery",2018-10-12,2018,32.49,
Beautiful Boy,Shawn Ku,"Michael Sheen, Maria Bello, Alan Tudyk, Moon Bloodgood, Kyle Gallner",2011-06-03,2011,6.395,
Beauty and the Beast,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad, Kevin Kline",2017-03-16,2017,109.3,
Beauty and the Beast,Christophe Gans,"Léa Seydoux, Vincent Cassel, André Dussollier, Eduardo Noriega, Myriam Charleins",2014-02-12,2014,36.36,
Beauty and the Beast,David Lister,"Estella Warren, Rhett Giles, Victor Parascos, Vanessa Gray, Tony Bellette",2010-02-11,2010,6.829,
Blitz,Steve McQueen,"Elliott Heffernan, Saoirse Ronan, Harris Dickinson, Benjamin Clémentine, Kathy Burke",2024-11-01,2024,33.501,
