Title,Director,Cast,Country,Release_year,Start,End
Final Destination Bloodlines,"Adam B. Stein, Zach Lipovsky","Kaitlyn Santa Juana, Teo Briones, Richard Harmon, Owen Patrick Joyner, Anna Lore",United States of America,2025,2025-05-14,
Kim Possible,"Adam B. Stein, Zach Lipovsky","Sadie Stanley, Sean Giambrone, Ciara Riley Wilson, Taylor Ortega, Connie Ray",United States of America,2019,2019-02-15,
The Man with the Bag,Adam Shankman,"Alan Ritchson, Arnold Schwarzenegger, Awkwafina, Michael Cyril Creighton, Liza Koshy",United States of America,2025,2025-10-03,
Disenchanted,Adam Shankman,"Amy Adams, Patrick Dempsey, Maya Rudolph, Gabriella Baldacchino, Rachel Duff",United States of America,2022,2022-11-18,
What Men Want,Adam Shankman,"Taraji P. Henson, Aldis Hodge, Josh Brener, Tracy Morgan, Shane Paul McGhie",United States of America,2019,2019-02-08,
Rock of Ages,Adam Shankman,"Julianne Hough, Diego Boneta, Alec Baldwin, Tom Cruise, Russell Brand",United States of America,2012,2012-06-13,
Mananambal,Adolfo Alix Jr.,"Nora Aunor, Bianca Umali, Kelvin Miranda, Edgar Allan Guzman, Jeric Gonzales",Philippines,2025,2025-02-19,
Bugso,Adolfo Alix Jr.,"Ayanna Misola, Sid Lucero, Hershie de Leon, Allan Paule, Lara Morena",Philippines,2022,2022-12-26,
Porno,Adolfo Alix Jr.,"Angel Aquino, Carlo Aquino, Rosanna Roces, Yul Servo, Ricky Davao",Philippines,2013,2013-07-27,
The Naked Gun,Akiva Schaffer,"Liam Neeson, Pamela Anderson, Paul Walter Hauser, Kevin Durand, Danny Huston",United States of America,2025,2025-07-31,
Chip 'n Dale: Rescue Rangers,Akiva Schaffer,"Andy Samberg, John Mulaney, KiKi Layne, Will Arnett, Eric Bana",United States of America,2022,2022-05-20,
The Watch,Akiva Schaffer,"Ben Stiller, Vince Vaughn, Jonah Hill, Richard Ayoade, Rosemarie DeWitt",United States of America,2012,2012-07-26,
The Moment Before,Aleksandrs Grebņevs,,Latvia,2025,2025-03-02,
Last Breath,Alex Parkinson,"Woody Harrelson, Simu Liu, Finn Cole, Cliff Curtis, Mark Bonnar","United Kingdom, United States of America",2025,2025-02-24,
Living with Leopards,Alex Parkinson,"Alex Parkinson, Brad Bestelink","Botswana, United Kingdom",2024,2024-05-09,
Death of a Unicorn,Alex Scharfman,"Jenna Ortega, Paul Rudd, Will Poulter, Téa Leoni, Richard E. Grant",United States of America,2025,2025-03-28,
Piglet,Andrea M. Catinella,"Alina Desmond, Alex Butler, Lauren Staerck, Valery Danko, Shayli Reagan",United Kingdom,2025,2025-01-25,
Love Me,"Andrew Zuchero, Sam Zuchero","Kristen Stewart, Steven Yeun",United States of America,2025,2025-01-31,
Red Silk,Andrey Volgin,"Miloš Biković, Gleb Kalyuzhny, Gosha Kutsenko, Elena Podkaminskaya, Zheng Hanyi",Russia,2025,2025-02-20,
Balkan Line,Andrey Volgin,"Anton Pampushnyy, Gosha Kutsenko, Miloš Biković, Milena Radulović, Gojko Mitić","Russia, Serbia",2019,2019-03-21,
Coming & Going,Andy Johnston,"Michael Nikou, Ilai Swindells, Charles Purcell",,2025,2025-03-03,
Michael,Antoine Fuqua,"Jaafar Jackson, Colman Domingo, Nia Long, Miles Teller, Joseph David-Jones","United Kingdom, United States of America",2025,2025-10-01,
The Equalizer 3,Antoine Fuqua,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman, Gaia Scodellaro","Italy, United States of America",2023,2023-08-30,
Emancipation,Antoine Fuqua,"Will Smith, Ben Foster, Charmaine Bingwa, Gilbert Owuor, Ronnie Gene Blevins",United States of America,2022,2022-12-02,
Infinite,Antoine Fuqua,"Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Jason Mantzoukas, Rupert Friend",United States of America,2021,2021-09-09,
