Country,Role,Name,Game_edition,City,Season,Game_name,Start,End
Greece,Emperor,George I,1,Athens,Summer,Athens 1896,1896-04-06,1896-04-15
France,President,Émile Loubet,2,Paris,Summer,Paris 1900,1900-05-14,1900-10-28
United States,President,Theodore Roosevelt,3,St. Louis,Summer,St. Louis 1904,1904-07-01,1904-11-23
United Kingdom,Prime Minister,H. H. Asquith,4,London,Summer,London 1908,1908-04-27,1908-10-31
Sweden,Monarch,Gustaf V,5,Stockholm,Summer,Stockholm 1912,1912-07-06,1912-07-27
Belgium,Monarch,Albert I,7,Antwerp,Summer,Antwerp 1920,1920-08-14,1920-09-12
France,President,Gaston Doumergue,8,Paris,Summer,Paris 1924,1924-07-05,1924-07-27
Netherlands,Monarch,Wilhelmina,9,Amsterdam,Summer,Amsterdam 1928,1928-07-28,1928-08-12
United States,President,Herbert Hoover,10,Los Angeles,Summer,Los Angeles 1932,1932-07-30,1932-08-14
United States,Vice President,Charles Curtis,10,Los Angeles,Summer,Los Angeles 1932,1932-07-30,1932-08-14
Germany,Chancellor,Adolf Hitler,11,Berlin,Summer,Berlin 1936,1936-08-01,1936-08-16
United Kingdom,Monarch,George VI,14,London,Summer,London 1948,1948-07-29,1948-08-14
United Kingdom,Prime Minister,Clement Attlee,14,London,Summer,London 1948,1948-07-29,1948-08-14
Finland,President,Juho Kusti Paasikivi,15,Helsinki,Summer,Helsinki 1952,1952-07-19,1952-08-03
Australia,Monarch,Elizabeth II,16,Melbourne,Summer,Munich 1956,1956-11-22,1956-12-08
Italy,President,Giovanni Gronchi,17,Rome,Summer,Rome 1960,1960-08-25,1960-09-11
Japan,Emperor,Shōwa,18,Tokyo,Summer,Tokyo 1964,1964-10-09,1964-10-24
Mexico,President,Gustavo Díaz Ordaz,19,Mexico City,Summer,Mexico City 1968,1968-10-12,1968-10-28
Germany,President,Gustav Heinemann,20,Munich,Summer,Munich 1972,1972-08-26,1972-09-11
Canada,monarch,Elizabeth II,21,Montreal,Summer,Montreal 1976,1976-07-17,1976-07-31
Soviet Union,General Secretary,Leonid Brezhnev,22,Moscow,Summer,Moscow 1980,1980-07-19,1980-08-03
United States,President,Ronald Reagan,23,Los Angeles,Summer,Los Angeles 1984,1984-07-28,1984-08-12
Republic of Korea,President,Roh Tae-woo,24,Seoul,Summer,Seoul 1988,1988-09-16,1988-10-02
Spain,Monarch,Juan Carlos I,25,Barcelona,Summer,Barcelona 1992,1992-07-25,1992-08-09
Spain,Prime Minister,Felipe González,25,Barcelona,Summer,Barcelona 1992,1992-07-25,1992-08-09
United States,President,Bill Clinton,26,Atlanta,Summer,Atlanta 1996,1996-07-19,1996-08-05
Australia,monarch,Elizabeth II,27,Sydney,Summer,Sydney 2000,2000-09-15,2000-10-01
Australia,Governor-General,William Deane,27,Sydney,Summer,Sydney 2000,2000-09-15,2000-10-01
Australia,Prime Minister,John Howard,27,Sydney,Summer,Sydney 2000,2000-09-15,2000-10-01
Greece,President,Kostas Stephanopoulos,28,Athens,Summer,Athens 2004,2004-08-13,2004-08-29
China,President,Hu Jintao,29,Beijing,Summer,Beijing 2008,2008-08-08,2008-08-24
China,Premier,Wen Jiabao,29,Beijing,Summer,Beijing 2008,2008-08-08,2008-08-24
United Kingdom,Monarch,Elizabeth II,30,London,Summer,London 2012,2012-07-27,2012-08-12
United Kingdom,Prime Minister,David Cameron,30,London,Summer,London 2012,2012-07-27,2012-08-12
Brazil,President,Dilma Rousseff,31,Rio,Summer,Rio 2016,2016-08-05,2016-08-21
Brazil,Vice President,Michel Temer,31,Rio,Summer,Rio 2016,2016-08-05,2016-08-21
Japan,Prime Minister,Yoshihide Suga,32,Tokyo,Summer,Tokyo 2020,2021-07-23,2021-08-08
Japan,Emperor,Naruhito,32,Tokyo,Summer,Tokyo 2020,2021-07-23,2021-08-08
